time,open,high,low,close,Volume,Volume MA
2019-09-16T02:00:00Z,4160,4260,4160,4220,85284700,86871535
2019-09-17T02:00:00Z,4240,4280,4220,4270,86432000,84034555
2019-09-18T02:00:00Z,4250,4280,4230,4250,72359600,82670070
2019-09-19T02:00:00Z,4260,4260,4190,4210,58720600,80057670
2019-09-20T02:00:00Z,4250,4300,4230,4290,132359100,82484430
2019-09-23T02:00:00Z,4290,4300,4230,4250,70483600,82128450
2019-09-24T02:00:00Z,4210,4240,4150,4210,88979100,78166935
2019-09-25T02:00:00Z,4220,4250,4180,4220,84582300,78991495
2019-09-26T02:00:00Z,4220,4370,4200,4360,79324000,79671750
2019-09-27T02:00:00Z,4310,4350,4300,4310,52305800,77530130
2019-09-30T02:00:00Z,4270,4330,4270,4310,111879100,81747535
2019-10-01T02:00:00Z,4400,4400,4220,4250,60332400,81419920
2019-10-02T02:00:00Z,4260,4300,4190,4200,51606300,80054955
2019-10-03T02:00:00Z,4190,4250,4160,4200,56433000,78021690
2019-10-04T02:00:00Z,4250,4250,4180,4190,34082000,73864625
2019-10-07T02:00:00Z,4240,4240,4090,4110,42996900,73661605
2019-10-08T02:00:00Z,4170,4170,4060,4090,74448900,73363900
2019-10-09T02:00:00Z,4090,4170,4080,4120,59314500,71819045
2019-10-10T02:00:00Z,4060,4120,4060,4110,34345600,70017215
2019-10-11T02:00:00Z,4100,4170,4100,4170,42198800,68923415
2019-10-14T02:00:00Z,4200,4210,4150,4190,52681800,67293270
2019-10-15T02:00:00Z,4190,4190,4150,4170,64670200,66205180
2019-10-16T02:00:00Z,4170,4190,4140,4170,70555700,66114985
2019-10-17T02:00:00Z,4160,4180,4140,4170,50695300,65713720
2019-10-18T02:00:00Z,4170,4190,4160,4190,169540200,67572775
2019-10-21T02:00:00Z,4200,4250,4190,4200,63797000,67238445
2019-10-22T02:00:00Z,4200,4250,4200,4230,56711100,65625045
2019-10-23T02:00:00Z,4210,4270,4210,4260,97971900,66294525
2019-10-24T02:00:00Z,4300,4350,4250,4350,99213400,67288995
2019-10-25T02:00:00Z,4320,4360,4270,4280,67661500,68056780
2019-10-28T02:00:00Z,4280,4280,4220,4260,30710600,63998355
2019-10-29T02:00:00Z,4230,4330,4220,4330,68715000,64417485
2019-10-30T02:00:00Z,4290,4350,4210,4270,89575600,66315950
2019-10-31T02:00:00Z,4220,4240,4080,4110,185713300,72779965
2019-11-01T02:00:00Z,4090,4150,4060,4080,107208500,76436290
2019-11-04T02:00:00Z,4080,4160,4080,4150,65897700,77581330
2019-11-05T02:00:00Z,4170,4200,4130,4200,109276000,79322685
2019-11-06T02:00:00Z,4180,4190,4110,4120,134618700,83087895
2019-11-07T02:00:00Z,4150,4150,3990,4070,125291200,87635175
2019-11-08T02:00:00Z,4010,4120,3990,4110,70404800,89045475
2019-11-11T02:00:00Z,4040,4120,4040,4100,57079800,89265375
2019-11-12T02:00:00Z,4050,4190,4050,4180,88251100,90444420
2019-11-13T02:00:00Z,4130,4170,4100,4150,91925700,91512920
2019-11-14T02:00:00Z,4110,4130,4010,4050,123468500,95151580
2019-11-15T02:00:00Z,4080,4090,4030,4080,50780500,89213595
2019-11-18T02:00:00Z,4040,4060,3990,4000,104978700,91272680
2019-11-19T02:00:00Z,4000,4020,3970,4020,113996600,94136955
2019-11-20T02:00:00Z,4000,4090,4000,4090,149185500,96697635
2019-11-21T02:00:00Z,4050,4090,4020,4020,64005900,94937260
2019-11-22T02:00:00Z,4030,4050,4000,4050,76569400,95382655
2019-11-25T02:00:00Z,4070,4070,3940,3950,107581200,99226185
2019-11-26T02:00:00Z,3950,3960,3860,3860,281002600,109840565
2019-11-27T02:00:00Z,3870,3930,3800,3880,97511300,110237350
2019-11-28T02:00:00Z,3830,3900,3800,3820,70635000,104483435
2019-11-29T02:00:00Z,3860,3950,3840,3930,72146900,102730355
2019-12-02T02:00:00Z,3960,3960,3930,3950,74263500,103148645
2019-12-03T02:00:00Z,3920,3940,3910,3920,74494000,101409545
2019-12-04T02:00:00Z,3920,3990,3900,3990,64948300,97926025
2019-12-05T02:00:00Z,3990,4080,3990,4060,118494800,97586205
2019-12-06T02:00:00Z,4040,4100,4020,4100,50682100,96600070
