time,open,high,low,close,Volume,Volume MA
2020-09-22T01:45:00Z,7900,7975,7900,7950,1545400,865900
2020-09-22T02:45:00Z,7975,7975,7950,7975,444500,840180
2020-09-22T03:45:00Z,7975,7975,7950,7975,474200,852455
2020-09-22T05:45:00Z,7975,8000,7950,8000,569500,872275
2020-09-22T06:45:00Z,7975,8000,7950,7950,2569700,993310
2020-09-22T07:45:00Z,7950,7975,7925,7950,1825100,1065780
2020-09-23T01:45:00Z,7950,8000,7950,7950,1669800,1112610
2020-09-23T02:45:00Z,7950,7975,7950,7950,908300,1104275
2020-09-23T03:45:00Z,7950,7950,7900,7900,987000,1139530
2020-09-23T05:45:00Z,7900,7925,7900,7925,209400,1108920
2020-09-23T06:45:00Z,7900,7950,7900,7950,1984100,1188065
2020-09-23T07:45:00Z,7925,7950,7900,7925,3308700,1338660
2020-09-24T01:45:00Z,7850,7900,7775,7800,1988400,1307720
2020-09-24T02:45:00Z,7800,7825,7775,7800,1264400,1152215
2020-09-24T03:45:00Z,7800,7800,7775,7775,752100,1177725
2020-09-24T05:45:00Z,7800,7800,7775,7775,227200,1181300
2020-09-24T06:45:00Z,7800,7900,7775,7900,1352000,1244025
2020-09-24T07:45:00Z,7900,7900,7800,7800,1926300,1322135
2020-09-25T01:45:00Z,7850,7900,7775,7800,1435800,1331955
2020-09-25T02:45:00Z,7800,7875,7775,7850,830400,1313615
2020-09-25T03:45:00Z,7850,7900,7825,7875,618500,1267270
2020-09-25T05:45:00Z,7875,7900,7875,7900,276900,1258890
2020-09-25T06:45:00Z,7875,7950,7875,7925,2065900,1338475
2020-09-25T07:45:00Z,7900,7975,7825,7925,2801900,1450095
2020-09-28T01:45:00Z,7875,7950,7875,7900,709500,1357085
2020-09-28T02:45:00Z,7925,7925,7900,7925,476800,1289670
2020-09-28T03:45:00Z,7900,7925,7875,7875,507400,1231550
2020-09-28T05:45:00Z,7900,7900,7875,7875,128800,1192575
2020-09-28T06:45:00Z,7875,7925,7875,7925,1189100,1202680
2020-09-28T07:45:00Z,7925,7925,7875,7900,2366500,1310535
2020-09-29T01:45:00Z,7900,7950,7900,7925,306600,1226660
2020-09-29T02:45:00Z,7925,8200,7925,8025,1724000,1147425
2020-09-29T03:45:00Z,8025,8050,7975,8025,933600,1094685
2020-09-29T05:45:00Z,8025,8050,8000,8000,383500,1050640
2020-09-29T06:45:00Z,8025,8025,7950,7975,2121200,1119095
2020-09-29T07:45:00Z,7975,8000,7975,7975,1995800,1207525
2020-09-30T01:45:00Z,8050,8050,7950,7950,249800,1152415
2020-09-30T02:45:00Z,7975,7975,7950,7950,369500,1074575
2020-09-30T03:45:00Z,7975,8000,7950,7950,603900,1032980
2020-09-30T05:45:00Z,7950,8000,7950,8000,195700,1001245
2020-09-30T06:45:00Z,7975,8000,7950,7975,1707000,1055670
2020-09-30T07:45:00Z,7975,8100,7950,8100,2395400,1161595
2020-10-01T01:45:00Z,8075,8100,8025,8025,302000,1073400
2020-10-01T02:45:00Z,8025,8050,8025,8025,192000,942905
2020-10-01T03:45:00Z,8050,8050,8025,8025,250300,919945
2020-10-01T05:45:00Z,8025,8050,8025,8025,200500,906130
2020-10-01T06:45:00Z,8050,8050,7975,8000,1985000,980010
2020-10-01T07:45:00Z,8000,8025,8000,8025,1455000,1046320
2020-10-02T01:45:00Z,7950,8000,7950,7975,534200,1013575
2020-10-02T02:45:00Z,7975,8000,7950,8000,974500,943975
2020-10-02T03:45:00Z,8000,8000,7950,8000,340100,945650
2020-10-02T05:45:00Z,8000,8000,7950,7975,437800,881340
2020-10-02T06:45:00Z,7950,8000,7950,7950,917600,880540
2020-10-02T07:45:00Z,7975,8000,7950,8000,485600,885645
2020-10-05T01:45:00Z,8100,8100,8000,8025,1138200,836495
2020-10-05T02:45:00Z,8025,8050,8025,8050,1819800,827695
2020-10-05T03:45:00Z,8025,8050,8025,8025,508100,840610
2020-10-05T05:45:00Z,8025,8050,8025,8025,320100,838140
2020-10-05T06:45:00Z,8025,8100,8025,8050,2160400,915965
2020-10-05T07:45:00Z,8050,8100,8050,8075,1959800,1004170
2020-10-06T01:45:00Z,8100,8125,8025,8025,865900,962115
2020-10-06T02:45:00Z,8025,8050,8000,8025,1312900,907990
2020-10-06T03:45:00Z,8025,8025,8000,8025,623600,924070
2020-10-06T05:45:00Z,8025,8025,8000,8025,512600,940100
2020-10-06T06:45:00Z,8025,8025,7950,7975,1934700,1024320
2020-10-06T07:45:00Z,7975,8000,7950,7975,1569200,1092755
2020-10-07T01:45:00Z,7975,8025,7950,7975,572900,1022150
2020-10-07T02:45:00Z,7975,8000,7950,7975,634100,981105
2020-10-07T03:45:00Z,7975,8000,7950,7950,609900,984890
2020-10-07T05:45:00Z,7975,8000,7950,7975,663600,969345
2020-10-07T06:45:00Z,7975,7975,7925,7950,2507400,1077710
2020-10-07T07:45:00Z,7950,8000,7925,8000,2626500,1187145
