Date,Open,High,Low,Close,Adj Close,Volume,PnL,% Change
1/2/2015,32300,32625,32275,32525,30111.57031,766900,Profit,0.696594427
1/5/2015,32475,32525,32275,32475,30065.27734,1761400,Same,0
1/6/2015,32300,32500,32150,32475,30065.27734,1400700,Profit,0.541795666
1/7/2015,32500,33700,32500,33125,30667.04883,2901400,Profit,1.923076923
1/8/2015,33100,33450,33100,33375,30898.5,2654900,Profit,0.83081571
1/9/2015,33100,33450,32975,33225,30759.62695,2078000,Profit,0.377643505
1/12/2015,32875,32900,32100,32100,29718.10938,1226100,Loss,2.357414449
1/13/2015,32600,33100,32475,33000,30551.32422,1194100,Profit,1.226993865
1/14/2015,33225,33250,32650,32650,30227.29688,978200,Loss,1.73062453
1/15/2015,32725,33000,32650,32725,30296.73242,326000,Same,0
1/16/2015,32975,34000,32650,33500,31014.22266,971400,Profit,1.592115239
1/19/2015,33500,34000,33400,34000,31477.12109,1055100,Profit,1.492537313
1/20/2015,33675,34200,33675,34200,31662.28125,2530300,Profit,1.559020045
1/21/2015,34200,35950,34200,35950,33282.43359,2889000,Profit,5.116959064
1/22/2015,35000,36000,35000,35800,33143.5625,1303100,Profit,2.285714286
1/23/2015,36050,36275,35800,36200,33513.875,2329700,Profit,0.416088766
1/26/2015,36100,36100,34125,35500,32865.81641,3573700,Loss,1.662049861
1/27/2015,35500,35625,34825,35525,32888.96875,1178900,Profit,0.070422535
1/28/2015,35500,35700,35225,35500,32865.81641,1039500,Same,0
1/29/2015,35600,35650,35125,35375,32750.09766,1043700,Loss,0.632022472
1/30/2015,35600,35900,35500,35825,33166.70313,1966400,Profit,0.632022472
2/2/2015,36000,36675,35750,36175,33490.73828,1498300,Profit,0.486111111
2/3/2015,36100,36500,36100,36375,33675.89063,590500,Profit,0.761772853
2/4/2015,36350,36500,36325,36400,33699.03125,1645900,Profit,0.137551582
2/5/2015,36000,36000,34850,35250,32634.36914,2931600,Loss,2.083333333
2/6/2015,35000,37000,35000,36650,33930.48438,2361200,Profit,4.714285714
2/9/2015,36900,36900,36000,36125,33444.44531,722300,Loss,2.100271003
2/10/2015,36125,36675,35500,35500,32865.81641,1790900,Loss,1.730103806
2/11/2015,36000,36000,35575,35675,33027.83203,1270300,Loss,0.902777778
2/12/2015,35675,35675,35200,35675,33027.83203,993100,Same,0
2/13/2015,35800,36400,35400,36325,33629.60156,1109600,Profit,1.466480447
2/16/2015,36425,36425,35100,35100,32495.50391,1152800,Loss,3.637611531
2/17/2015,35600,35900,35350,35900,33236.14063,807500,Profit,0.842696629
2/18/2015,35900,36000,35500,35500,32865.81641,1038900,Loss,1.114206128
2/20/2015,35500,35800,35300,35325,32703.80859,1313500,Loss,0.492957746
2/23/2015,35400,36100,35400,36050,33375.00391,1280400,Profit,1.836158192
2/24/2015,36000,36050,35700,36025,33351.85938,1133800,Profit,0.069444444
2/25/2015,36100,36350,36025,36350,33652.74609,1320000,Profit,0.692520776
2/26/2015,36150,36650,35725,36500,33791.61719,1747300,Profit,0.968188105
2/27/2015,36125,36425,36000,36000,33328.71484,1994200,Loss,0.346020761
3/2/2015,36000,36500,35750,36400,33699.03125,1203700,Profit,1.111111111
3/3/2015,36250,36650,36075,36075,33398.14844,1846000,Loss,0.482758621
3/4/2015,36200,36350,36050,36100,33421.30078,626000,Loss,0.276243094
3/5/2015,36250,36725,36100,36250,33560.16406,1142200,Same,0
3/6/2015,36500,37800,36350,37800,34995.15625,2487000,Profit,3.561643836
3/9/2015,37500,37500,37050,37500,34717.41016,2183300,Same,0
3/10/2015,37300,37800,36525,37800,34995.15625,2241600,Profit,1.340482574
3/11/2015,37500,38750,37100,38750,35874.66406,3453400,Profit,3.333333333
3/12/2015,38750,39825,38500,39825,36869.89844,2360800,Profit,2.774193548
3/13/2015,39800,40125,39500,39875,36916.18359,1531300,Profit,0.188442211
3/16/2015,39875,39875,39500,39575,36638.44141,1532000,Loss,0.752351097
3/17/2015,39575,39850,38875,39000,36106.10938,1361700,Loss,1.452937461
3/18/2015,38950,38950,37500,37500,34717.41016,2161200,Loss,3.722721438
3/19/2015,38000,38500,38000,38300,35458.04688,1517200,Profit,0.789473684
3/20/2015,38300,38475,38075,38300,35458.04688,2131100,Same,0
3/23/2015,38325,38800,38325,38625,35758.93359,932500,Profit,0.782778865
3/24/2015,38650,39000,38625,38900,36013.53125,2094800,Profit,0.64683053
3/25/2015,38750,38900,38700,38825,35944.09766,2044500,Profit,0.193548387
3/26/2015,38750,39075,38500,38500,35643.21094,1476500,Loss,0.64516129
3/27/2015,38700,39400,38700,39100,36198.6875,1722000,Profit,1.033591731
3/30/2015,39400,39900,39400,39650,36707.87891,1508000,Profit,0.634517766
3/31/2015,40500,40500,39650,39650,36707.87891,3644100,Loss,2.098765432
4/1/2015,39200,39600,38975,39025,36129.25391,1613900,Loss,0.446428571
4/2/2015,39550,39550,38975,39050,36152.40234,1478600,Loss,1.264222503
